SCHOOL,DISTRICT,TREATMENT,MATH_SCORE,READ_SCORE,PRIOR_MATH_SCORE,PRIOR_READ_SCORE,GENDER,SG_MATH_PROF,SG_READ_PROF
1,1,0,76.34896561,86.92836711,90.99910805,97.789212,1,3,3
1,1,0,61.03912086,78.31269491,92.12736257,77.85251807,1,3,2
1,1,0,42.70402894,50.99009115,70.45788435,65.39208437,0,2,2
1,1,0,50.89018449,73.89533384,,75.36043133,1,,2
1,1,0,60.01325901,84.34572787,66.84177901,72.86834459,0,2,2
1,1,0,,65.14997572,,,1,,
1,1,0,64.59998926,60.84213962,74.28538711,67.88417111,0,2,2
1,1,0,75.01087463,83.36840506,67.26180568,77.85251807,0,2,2
1,1,0,87.37272191,102.1452198,86.76930426,100.2812987,1,2,3
1,1,0,56.59488287,73.32686795,,75.36043133,1,,2
1,1,0,54.39436704,61.48927804,58.31088913,70.37625785,0,1,2
1,1,0,57.38526028,70.24604697,67.20038291,72.86834459,1,2,2
1,1,0,68.50730022,82.31531097,74.90797766,80.34460482,1,2,2
1,1,0,72.00170891,83.05931099,71.80830535,92.80503852,0,2,3
1,1,0,65.35233568,,76.57406521,80.34460482,0,2,2
1,1,0,69.7667377,85.43261903,76.95589802,80.34460482,0,2,2
1,1,0,52.99658339,77.96226698,67.84997489,70.37625785,0,2,2
1,1,0,58.40960882,87.73604388,,77.85251807,0,,2
1,1,0,70.43346519,90.57714591,80.79857247,85.3287783,0,2,3
1,1,0,75.27110243,85.87527303,82.64400075,92.80503852,1,2,3
1,1,0,67.20546821,,84.4539696,87.82086504,0,2,3
1,1,0,,76.38204087,59.15415904,70.37625785,1,1,2
1,1,0,74.21537726,95.17765689,99.22962737,102.7733855,1,3,3
1,1,0,63.1062312,79.148921,85.64144328,87.82086504,1,2,3
1,1,0,63.25860927,73.2156509,65.2094492,60.40791089,1,2,2
1,1,0,,60.09426558,53.40464935,57.91582415,1,1,1
1,1,0,55.75053198,74.25026207,,,1,,
1,1,0,43.99996171,62.82797491,48.13032335,52.93165067,0,1,1
1,1,0,62.02500314,75.73506403,75.29809024,,0,2,
1,1,0,73.96858746,90.17923511,89.00368691,102.7733855,0,3,3
1,1,0,61.00839083,80.88557205,,90.31295178,0,,3
1,1,0,67.67898797,94.33983177,85.91603152,,1,2,
1,1,0,64.79768659,77.219866,68.0818259,65.39208437,0,2,2
1,1,0,79.78637724,82.9894278,74.93445051,82.83669156,0,2,2
1,1,0,48.17607121,67.83237783,53.50578119,60.40791089,0,1,2
1,1,0,65.64248213,85.67848698,72.75938299,82.83669156,0,2,2
1,1,0,49.75701022,,64.52995925,70.37625785,1,1,2
1,1,0,59.61950051,76.77561296,74.19348781,,0,2,
1,1,0,48.17759221,72.47324992,,75.36043133,1,,2
1,1,0,50.87000852,74.51352197,,70.37625785,1,,2
1,1,0,49.45397453,74.84655796,,70.37625785,1,,2
1,1,0,75.05635977,81.97241983,83.98688651,87.82086504,0,2,3
1,1,0,68.59642969,85.87527303,78.13601302,75.36043133,1,2,2
1,1,0,66.69464234,80.87549158,64.47318928,75.36043133,1,1,2
1,1,0,80.98107858,78.63186945,69.51143498,67.88417111,0,2,2
2,1,1,34.88396748,51.99009115,68.98614717,67.88417111,1,2,2
2,1,1,64.83823139,88.06192705,74.14662232,,1,2,
2,1,1,70.56941771,66.49943089,71.24091529,70.37625785,1,2,2
2,1,1,62.7217368,92.41497104,93.5454516,102.7733855,0,3,3
2,1,1,42.64871732,51.06105313,60.11123902,52.93165067,0,1,1
2,1,1,,64.46901399,57.49975736,,1,1,
2,1,1,72.83626006,90.09234395,94.02865864,97.789212,0,3,3
2,1,1,70.96859105,85.24596501,,87.82086504,0,,3
2,1,1,46.57856066,54.35331872,65.30124594,,1,2,
2,1,1,67.22958178,86.56230494,93.48681841,,0,3,
2,1,1,,,83.49309396,82.83669156,0,2,2
2,1,1,69.98011211,78.44521543,72.5917082,72.86834459,1,2,2
2,1,1,71.41045878,90.30167515,68.17393572,72.86834459,1,2,2
2,1,1,86.58347995,90.39049189,84.77336418,92.80503852,1,2,3
2,1,1,42.56778133,66.84232203,73.66526454,67.88417111,1,2,2
2,1,1,72.55207067,83.0621456,71.82289345,82.83669156,0,2,2
2,1,1,73.12736994,84.37848553,,90.31295178,1,,3
2,1,1,64.66708145,59.47891205,66.39306062,,1,2,
2,1,1,64.77121116,73.70867982,39.5652409,45.45539045,1,1,1
2,1,1,17.08522682,13.51969016,82.62359786,67.88417111,1,2,2
2,1,1,69.13651078,86.43261903,84.15886097,92.80503852,1,2,3
2,1,1,53.37575462,63.08557393,71.33472725,70.37625785,1,2,2
2,1,1,52.53525218,69.27115781,65.00451158,65.39208437,0,2,2
2,1,1,80.5506897,86.67848698,63.1263276,62.89999763,0,1,2
2,1,1,74.51459977,91.27899797,87.37649953,85.3287783,0,2,3
2,1,1,70.02947915,,77.4023578,,1,2,
2,1,1,65.0532146,81.68600295,74.65932882,75.36043133,0,2,2
2,1,1,33.84273707,,56.54800586,57.91582415,1,1,1
2,1,1,57.40976201,77.03321198,68.57490543,62.89999763,0,2,2
2,1,1,55.55856008,69.59033235,73.52076768,,1,2,
2,1,1,81.95905602,93.95045395,92.00940675,,1,3,
2,1,1,57.08678716,56.25786,38.2964929,52.93165067,1,1,1
2,1,1,55.09469589,,86.23945252,85.3287783,0,2,3
2,1,1,,63.47914602,60.93005904,,1,1,
2,1,1,56.15344787,69.40084372,64.68371296,70.37625785,0,1,2
2,1,1,68.81731485,85.68861901,83.6427671,95.29712526,0,2,3
2,1,1,65.5038157,78.31552952,65.77644092,70.37625785,0,2,2
2,1,1,65.86545829,78.2557268,79.4653983,85.3287783,0,2,3
2,1,1,71.41295818,91.10935192,66.11803047,85.3287783,1,2,3
2,1,1,76.76277811,84.30517894,83.61811037,87.82086504,0,2,3
2,1,1,,45.82726041,62.01113353,52.93165067,1,1,1
2,1,1,64.10071563,88.80592707,83.72170141,92.80503852,1,2,3
2,1,1,33.31044123,38.49091739,64.5511833,,0,1,
2,1,1,48.65776967,54.1826999,50.60570471,55.42373741,1,1,1
2,1,1,75.19948348,94.15317775,84.40617751,,1,2,
2,1,1,,66.20128295,79.91669573,72.86834459,1,2,2
2,1,1,57.79788518,78.96226698,64.642484,62.89999763,1,1,2
2,1,1,60.26765666,85.64387581,78.52361247,95.29712526,0,2,3
2,1,1,73.5325227,90.30167515,72.10420394,85.3287783,1,2,3
2,1,1,61.39517272,76.39217289,80.89035604,65.39208437,1,2,2
2,1,1,62.13336438,75.84655796,63.87942697,70.37625785,0,1,2
2,1,1,56.88754209,47.50109107,61.68476844,57.91582415,1,1,1
2,1,1,64.88401326,67.20694384,64.25897606,72.86834459,1,1,2
2,1,1,52.46094132,69.59033235,56.70406975,57.91582415,1,1,1
2,1,1,49.94203332,71.09994188,63.61352927,60.40791089,1,1,2
2,1,1,57.13351101,77.62357011,70.05013296,82.83669156,1,2,2
2,1,1,34.50902587,34.42009136,61.37500732,55.42373741,1,1,1
2,1,1,41.47130847,,74.70163443,67.88417111,0,2,2
2,1,1,62.48302405,,92.00701979,95.29712526,0,3,3
2,1,1,37.5248229,43.23753347,78.89814325,80.34460482,0,2,2
2,1,1,58.95696324,86.48170094,75.58720182,,0,2,
2,1,1,73.21340573,97.36431091,84.10891982,102.7733855,1,2,3
2,1,1,67.67451666,81.9318709,,80.34460482,0,,2
2,1,1,55.11364817,69.60920216,73.91131739,65.39208437,0,2,2
2,1,1,,63.82797491,63.05602815,70.37625785,1,1,2
2,1,1,80.83840152,94.99100287,87.06919288,92.80503852,0,2,3
2,1,1,74.33988049,82.87265697,77.33251731,80.34460482,1,2,2
2,1,1,54.47463319,63.77666769,57.51181208,,1,1,
2,1,1,55.42740858,59.0999348,63.32930033,,1,1,
2,1,1,59.25474179,69.70993778,80.61461249,75.36043133,1,2,2
2,1,1,,96.47415613,93.85545193,100.2812987,1,3,3
2,1,1,71.67078655,83.0621456,84.96934909,92.80503852,0,2,3
2,1,1,75.3696037,86.62210766,82.1075002,97.789212,1,2,3
2,1,1,55.572873,72.73084894,69.16896445,77.85251807,1,2,2
2,1,1,71.78167403,80.148921,80.01712271,82.83669156,0,2,2
2,1,1,60.83102118,68.83237783,62.54422706,,1,1,
2,1,1,82.25103175,93.2934212,66.92581846,65.39208437,0,2,2
2,1,1,58.70499752,59.37950678,54.14609005,47.94747719,0,1,1
2,1,1,70.01503114,75.25026207,58.84266062,70.37625785,0,1,2
2,1,1,77.4143961,87.865141,82.74519509,80.34460482,0,2,2
2,1,1,50.43161195,59.47891205,69.47994947,57.91582415,1,2,1
2,1,1,46.23363099,59.36763127,75.59131953,57.91582415,0,2,1
2,1,1,99.14641421,98.39860372,87.29809203,90.31295178,0,2,3
2,1,1,48.17455795,58.29225803,73.14165713,77.85251807,0,2,2
2,1,1,42.79893161,59.46883158,69.19371361,,1,2,
2,1,1,58.93917197,74.76564793,91.4060809,77.85251807,1,3,2
2,1,1,,59.91918396,67.15562493,62.89999763,1,2,2
2,1,1,39.47311964,66.64553599,68.60184597,85.3287783,1,2,3
2,1,1,52.82730531,67.33662974,,72.86834459,1,,2
2,1,1,63.74296181,69.31699197,45.12410406,55.42373741,0,1,1
2,1,1,55.82623913,80.81852347,87.78655998,92.80503852,1,2,3
2,1,1,70.09918242,70.05939295,61.65065767,72.86834459,1,1,2
2,1,1,64.8625654,73.50911072,76.69876658,70.37625785,1,2,2
2,1,1,67.59998273,75.84655796,61.90722978,57.91582415,1,1,1
2,1,1,,72.5220258,68.26155453,57.91582415,1,2,1
2,1,1,65.95125746,80.148921,89.76193752,97.789212,1,3,3
2,1,1,56.21341922,64.65422764,64.0417559,62.89999763,1,1,2
2,1,1,50.3456925,63.28235997,69.1268595,62.89999763,1,2,2
2,1,1,65.80551883,70.3575409,53.01159933,65.39208437,0,1,2
3,1,1,,73.50911072,54.68671239,52.93165067,1,1,1
3,1,1,68.77351611,75.99266305,51.60734805,60.40791089,0,1,2
3,1,1,74.26896549,88.85500898,,80.34460482,1,,2
3,1,1,81.14957597,,71.80648056,95.29712526,0,2,3
3,1,1,61.83244025,,45.85537946,52.93165067,1,1,1
3,1,1,60.83330993,66.20128295,75.62687203,,0,2,
3,1,1,55.25317344,64.27222795,41.59111523,42.96330371,1,1,1
3,1,1,70.49245726,78.76548093,60.2252915,70.37625785,1,1,2
3,1,1,61.60655154,74.30695688,61.54633072,62.89999763,0,1,2
3,1,1,71.19704186,87.66835496,78.84943985,80.34460482,0,2,2
3,1,1,79.50829731,81.81568886,69.99450319,70.37625785,0,2,2
3,1,1,70.35452467,89.05773278,83.19582055,82.83669156,0,2,2
3,1,1,76.2660019,,85.63115734,95.29712526,0,2,3
3,1,1,57.22955857,75.94222148,72.68614459,72.86834459,0,2,2
3,1,1,64.01949476,86.62210766,73.5777947,87.82086504,1,2,3
3,1,1,,,70.01012841,77.85251807,0,2,2
3,1,1,54.42369388,,60.41051834,67.88417111,0,1,2
3,1,1,59.61860661,62.292492,60.25041148,62.89999763,0,1,2
3,1,1,67.13254243,91.48832917,,95.29712526,0,,3
3,1,1,64.18257947,,57.48850275,57.91582415,0,1,1
3,1,1,70.75143062,91.57714591,75.64397057,87.82086504,1,2,3
3,1,1,66.27529343,94.66931398,,85.3287783,0,,3
3,1,1,77.20192473,87.66835496,62.59930704,72.86834459,1,1,2
3,1,1,54.70264452,69.17088688,71.18163656,62.89999763,1,2,2
3,1,1,70.26005609,75.20442791,,85.3287783,0,,3
3,1,1,72.15817146,80.74521688,88.92823614,92.80503852,1,3,3
3,1,1,54.35453255,59.90761156,76.93332058,77.85251807,1,2,2
3,1,1,,73.32120707,54.25193762,,1,1,
3,1,1,62.80900882,72.51194533,,65.39208437,1,,2
3,1,1,78.85557059,99.59745161,81.88944348,,0,2,
3,1,1,46.79873894,51.06105313,57.15913872,52.93165067,0,1,1
3,1,1,53.1881993,58.63116804,66.49853483,60.40791089,0,2,2
3,1,1,42.62668987,46.36591512,45.386705,57.91582415,0,1,1
3,1,1,65.30609783,87.61927305,60.42182858,77.85251807,1,1,2
3,1,1,58.49019902,,53.24449802,60.40791089,1,1,2
3,1,1,74.0612389,,76.89772822,90.31295178,0,2,3
3,1,1,67.95720226,,89.61058327,90.31295178,1,3,3
3,1,1,81.11181607,94.99100287,96.23028584,100.2812987,0,3,3
3,1,1,58.49762524,80.148921,74.04036308,85.3287783,0,2,3
3,1,1,69.85020528,,90.82177341,100.2812987,0,3,3
3,1,1,86.71284342,95.28750211,93.13320842,90.31295178,1,3,3
3,1,1,,90.30167515,78.99891009,87.82086504,0,2,3
3,1,1,,72.3224567,60.1135835,60.40791089,0,1,2
3,1,1,73.68489098,73.62529277,63.44835286,60.40791089,1,1,2
3,1,1,59.64028968,82.32544299,81.97536395,85.3287783,1,2,3
3,1,1,70.52519249,78.8839954,82.72720905,82.83669156,0,2,2
3,1,1,87.25544251,92.46533362,71.91703773,90.31295178,1,2,3
3,1,1,45.63872674,,74.13389379,,1,2,
3,1,1,59.16675655,74.89533384,69.94910863,70.37625785,1,2,2
3,1,1,71.52230198,71.58893811,69.0386707,67.88417111,0,2,2
3,1,1,48.57359914,,73.64091247,82.83669156,1,2,2
3,1,1,51.8611458,67.18703277,62.3550342,62.89999763,0,1,2
3,1,1,61.29410184,71.33537178,70.78935775,57.91582415,1,2,1
3,1,1,69.41335323,77.57882691,69.00472142,75.36043133,1,2,2
3,1,1,61.82532713,65.40210168,83.94524758,65.39208437,0,2,2
3,1,1,,37.26174069,51.9690069,,0,1,
3,1,1,55.34273011,85.24596501,75.63874312,87.82086504,0,2,3
3,1,1,45.13759388,62.64132089,62.42670588,60.40791089,0,1,2
3,1,1,81.94698181,93.65230601,90.05616065,102.7733855,1,3,3
3,1,1,47.97165014,56.3592219,63.14221082,52.93165067,1,1,1
3,1,1,63.33441061,80.74521688,67.05782514,67.88417111,1,2,2
3,1,1,76.85335735,,73.93009734,65.39208437,1,2,2
3,1,1,,72.83111987,,,1,,
3,1,1,52.8907516,70.20549805,85.18470831,85.3287783,1,2,3
4,1,0,64.11011133,70.95355991,58.20265283,65.39208437,0,1,2
4,1,0,53.11899809,73.45655386,53.17539692,60.40791089,1,1,2
4,1,0,47.25751981,61.64132089,47.53098993,55.42373741,1,1,1
4,1,0,59.76726501,,72.66446547,62.89999763,1,2,2
4,1,0,73.9016117,90.72754005,77.30479385,,0,2,
4,1,0,54.2146485,74.32403334,69.6912265,70.37625785,1,2,2
4,1,0,74.13911473,85.87527303,97.87495084,97.789212,1,3,3
4,1,0,72.97070023,92.65230601,82.90495121,97.789212,1,2,3
4,1,0,71.78986709,78.63186945,,60.40791089,1,,2
4,1,0,76.16496927,82.82010011,81.10998523,,1,2,
4,1,0,90.61103101,94.33983177,78.87708253,92.80503852,1,2,3
4,1,0,37.18981126,66.20694384,,,0,,
4,1,0,45.39813351,53.27812405,56.86860436,55.42373741,1,1,1
4,1,0,80.9462614,87.06192705,,,1,,
4,1,0,70.34459639,88.99258109,85.25824417,92.80503852,0,2,3
4,1,0,69.48173746,71.2865959,60.41965562,62.89999763,1,1,2
4,1,0,62.35837869,74.54841001,66.59714028,70.37625785,1,2,2
4,1,0,46.09385008,,65.32781025,47.94747719,1,2,1
4,1,0,80.41260528,92.48265996,90.26503937,97.789212,1,3,3
4,1,0,55.48899765,66.68608491,61.23748746,67.88417111,1,1,2
4,1,0,57.530919,73.76564793,75.27551449,67.88417111,1,2,2
4,1,0,77.48221921,84.17608182,68.96885088,80.34460482,0,2,2
4,1,0,41.22356563,46.94162686,,62.89999763,0,,2
4,1,0,66.81016564,64.03320489,61.14385273,60.40791089,1,1,2
4,1,0,47.9053408,57.18097725,63.16078529,55.42373741,1,1,1
4,1,0,56.87103818,57.92931598,62.37721156,62.89999763,0,1,2
4,1,0,59.60108044,69.50364599,53.24403629,65.39208437,1,1,2
4,1,0,42.92608223,63.84371627,81.39477466,82.83669156,1,2,2
4,1,0,54.47917535,54.46477807,53.75219122,,0,1,
4,1,0,,66.64572381,61.88834114,60.40791089,0,1,2
4,1,0,39.48279099,51.99604588,,57.91582415,0,,1
4,1,0,55.85963231,61.65989686,57.46611248,55.42373741,0,1,1
4,1,0,,74.51352197,64.77259433,72.86834459,1,1,2
4,1,0,42.76089268,60.47324284,57.68507247,65.39208437,0,1,2
4,1,0,40.92364481,59.88504624,,,0,,
4,1,0,64.4149368,81.97241983,76.06953665,85.3287783,1,2,3
4,1,0,68.0723243,73.13737932,76.18586874,77.85251807,1,2,2
4,1,0,59.08049517,71.2865959,76.27000064,82.83669156,1,2,2
4,1,0,69.68006103,83.1083929,67.91536215,87.82086504,1,2,3
4,1,0,46.53917649,57.91044617,69.13944436,60.40791089,0,2,2
4,1,0,59.17627,76.88683001,73.78370437,85.3287783,1,2,3
4,1,0,57.3683596,66.38793697,68.00200926,77.85251807,1,2,2
4,1,0,,,87.23829075,87.82086504,1,2,3
4,1,0,51.57864469,78.75534891,68.11052377,75.36043133,1,2,2
4,1,0,50.35959035,62.47914602,49.90125192,65.39208437,1,1,2
4,1,0,,60.84213962,58.12545725,62.89999763,0,1,2
4,1,0,30.39626865,52.43436117,55.87948028,55.42373741,1,1,1
4,1,0,84.9168911,86.71903591,109.1490235,97.789212,1,3,3
4,1,0,55.8541395,68.5603408,60.5527637,75.36043133,0,1,2
4,1,0,56.1923815,67.97214421,81.34144042,80.34460482,0,2,2
4,1,0,46.21397029,72.14021393,46.97701446,67.88417111,1,1,2
4,1,0,,70.33537178,72.21366567,65.39208437,0,2,2
4,1,0,70.81290008,89.30167515,77.45020004,,1,2,
4,1,0,66.7716416,84.37565092,75.97859305,80.34460482,1,2,2
4,1,0,55.84482769,82.00234288,69.75746459,92.80503852,1,2,3
4,1,0,42.44931376,57.92931598,61.11067782,60.40791089,0,1,2
4,1,0,73.7681172,,81.45834546,102.7733855,0,2,3
4,1,0,50.77521861,72.76546011,,70.37625785,0,,2
4,1,0,64.971209,90.27899797,98.55938814,92.80503852,1,3,3
4,1,0,74.37185347,87.80592707,66.79760162,85.3287783,0,2,3
4,1,0,80.04648279,85.87527303,94.92670879,97.789212,0,3,3
4,1,0,65.93470109,76.26864188,72.6162605,70.37625785,1,2,2
4,1,0,54.54271871,73.88525337,,72.86834459,1,,2
4,1,0,71.93631705,80.13878897,81.45129868,72.86834459,1,2,2
4,1,0,65.27772323,81.00517749,,90.31295178,0,,3
4,1,0,61.85547741,66.18703277,83.05711175,77.85251807,1,2,2
4,1,0,61.16834523,71.13455305,64.91455798,52.93165067,0,1,1
4,1,0,69.06542808,71.13455305,,82.83669156,1,,2
4,1,0,44.11464354,58.72239791,62.59664864,70.37625785,0,1,2
4,1,0,63.8667717,92.48265996,82.47578607,85.3287783,0,2,3
4,1,0,65.1003444,77.219866,69.61927446,82.83669156,0,2,2
4,1,0,,67.40367833,77.07763998,67.88417111,1,2,2
4,1,0,62.52555426,86.66835496,85.45051298,92.80503852,0,2,3
4,1,0,44.03731209,70.54419492,68.69303454,72.86834459,1,2,2
4,1,0,82.771551,98.58525774,91.37783642,95.29712526,0,3,3
4,1,0,41.34369573,60.10583798,62.87759574,70.37625785,1,1,2
4,1,0,64.93837949,68.01884403,59.40808841,70.37625785,0,1,2
4,1,0,56.82881877,74.94222148,78.52249651,,1,2,
4,1,0,,67.39359785,73.78849684,77.85251807,1,2,2
4,1,0,64.46166307,72.61935501,67.82013212,82.83669156,1,2,2
5,2,1,78.64975332,88.06192705,70.84666455,,0,2,
5,2,1,55.58655171,73.57899391,,75.36043133,0,,2
5,2,1,69.06538545,88.06192705,76.43789116,85.3287783,1,2,3
5,2,1,78.61624385,90.54088603,74.66932801,62.89999763,1,2,2
5,2,1,63.87208822,85.37565092,86.53740525,90.31295178,1,2,3
5,2,1,39.04385163,61.48332331,,62.89999763,1,,2
5,2,1,46.29868683,62.09570595,58.97488738,67.88417111,0,1,2
5,2,1,59.96778207,57.04580129,79.84729469,70.37625785,1,2,2
5,2,1,62.98876643,75.34568622,67.46603653,67.88417111,0,2,2
5,2,1,,33.23343734,57.73599501,50.43956393,0,1,1
5,2,1,36.42220157,48.43012909,60.70056194,57.91582415,1,1,1
5,2,1,73.81839953,76.51068736,72.72173055,70.37625785,1,2,2
5,2,1,62.46548121,,70.24733615,60.40791089,0,2,2
5,2,1,83.54412105,92.76379993,76.87702804,90.31295178,1,2,3
5,2,1,65.18389191,81.81568886,86.67848188,90.31295178,0,2,3
5,2,1,43.49276586,60.66556607,60.45242524,60.40791089,1,1,2
5,2,1,59.49324493,68.95198327,87.9481094,,0,2,
5,2,1,75.22125994,82.96648207,75.12962222,77.85251807,1,2,2
5,2,1,38.36352026,54.36339919,61.2696074,52.93165067,0,1,1
5,2,1,,58.63116804,62.05556262,67.88417111,1,1,2
5,2,1,66.70348258,77.47746501,59.90948991,50.43956393,0,1,1
5,2,1,58.41256258,78.76548093,,,1,,
5,2,1,53.63657978,60.29666929,,,1,,
5,2,1,57.95253635,67.77540972,68.44328158,70.37625785,1,2,2
5,2,1,,71.69030001,74.6095665,85.3287783,1,2,3
5,2,1,70.02034482,80.26013805,72.53603789,,0,2,
5,2,1,51.78445506,60.5661608,78.37322344,67.88417111,1,2,2
5,2,1,60.13315918,77.38204087,74.34256122,80.34460482,1,2,2
5,2,1,55.91024437,59.41910933,69.1101002,67.88417111,1,2,2
5,2,1,52.88856276,57.54587592,65.20071986,,0,2,
5,2,1,57.7353377,60.6554856,53.72907674,47.94747719,0,1,1
5,2,1,50.69353386,55.72946137,82.29861416,,1,2,
5,2,1,39.50261982,54.27812405,66.12846458,57.91582415,0,2,1
5,2,1,74.97145461,84.37848553,83.93580814,82.83669156,1,2,2
5,2,1,55.57378021,77.88683001,69.56823186,82.83669156,0,2,2
5,2,1,75.42875398,67.33662974,71.2873992,65.39208437,1,2,2
5,2,1,37.69027625,38.33886974,50.22518404,55.42373741,1,1,1
5,2,1,25.702912,32.04678333,55.13016205,45.45539045,1,1,1
5,2,1,43.18884593,61.66273146,69.24807867,70.37625785,1,2,2
5,2,1,69.19854182,,69.40141532,77.85251807,0,2,2
5,2,1,60.67190296,88.85500898,75.66821898,82.83669156,1,2,2
5,2,1,33.95286477,32.55764729,44.02995971,30.50287,0,1,1
5,2,1,,59.72239791,62.43651772,60.40791089,1,1,2
5,2,1,60.98954623,88.80592707,,,0,,
5,2,1,46.64137095,76.33555419,71.04370252,67.88417111,0,2,2
5,2,1,,80.94200293,77.71911514,80.34460482,0,2,2
5,2,1,25.98008709,33.74430131,75.06128266,65.39208437,0,2,2
5,2,1,30.47132323,36.11760935,,42.96330371,0,,1
5,2,1,,62.65989686,,80.34460482,0,,2
5,2,1,,36.11760935,92.81035008,100.2812987,1,3,3
5,2,1,38.74218006,43.08548582,56.10378591,42.96330371,1,1,1
5,2,1,55.95689632,55.07120598,49.83060172,65.39208437,1,1,2
5,2,1,59.84316984,86.67848698,75.80732193,87.82086504,1,2,3
5,2,1,60.8349056,60.66556607,67.83641632,55.42373741,1,2,1
5,2,1,70.17358975,82.12865695,84.09428243,90.31295178,1,2,3
5,2,1,67.904054,,82.06491642,95.29712526,0,2,3
5,2,1,52.30906308,74.13737932,60.63057692,70.37625785,1,1,2
5,2,1,71.52479573,94.10084809,,85.3287783,1,,3
5,2,1,45.07186707,43.45395237,79.32164305,82.83669156,0,2,2
5,2,1,63.55394381,72.39233989,82.38403738,72.86834459,1,2,2
5,2,1,23.2756585,,55.4420434,42.96330371,1,1,1
5,2,1,58.55010177,65.90907276,59.07614906,57.91582415,0,1,1
5,2,1,47.84142526,58.29225803,59.17066139,57.91582415,1,1,1
5,2,1,82.02851931,88.06192705,83.01872464,,1,2,
6,2,0,73.81321018,87.73604388,76.39768758,,0,2,
6,2,0,64.47967234,71.43270099,59.23541042,,1,1,
6,2,0,60.66948518,72.61935501,72.86863113,70.37625785,0,2,2
6,2,0,33.13567507,59.06710865,48.79313339,45.45539045,1,1,1
6,2,0,53.55091019,72.17510197,68.57616603,72.86834459,0,2,2
6,2,0,66.07783064,73.01777389,70.17105004,,1,2,
6,2,0,42.87769967,58.72239791,56.98933825,,1,1,
6,2,0,74.23809626,78.62178898,73.99431178,72.86834459,1,2,2
6,2,0,52.20163597,76.13895597,82.40026634,72.86834459,0,2,2
6,2,0,41.87331548,68.60920216,71.83107809,60.40791089,0,2,2
6,2,0,39.56158163,56.53430352,53.7366336,47.94747719,1,1,1
6,2,0,48.91513386,70.69030001,78.50993783,87.82086504,1,2,3
6,2,0,56.66159205,67.39359785,67.71388303,50.43956393,0,2,1
6,2,0,43.22448861,57.63116804,67.01056703,72.86834459,1,2,2
6,2,0,74.39870833,,,55.42373741,1,,1
6,2,0,49.71807905,67.13033795,,55.42373741,1,,1
6,2,0,63.98447215,71.08324582,46.89591422,45.45539045,1,1,1
6,2,0,54.10341683,75.07190739,62.64084737,67.88417111,0,1,2
6,2,0,64.54345274,74.20551887,53.36388417,57.91582415,1,1,1
6,2,0,60.18524603,68.21563007,39.11023996,42.96330371,1,1,1
